freq_hz,psd_mean
0.5,3.245953975325175e-11
0.625,2.3336782020318678e-11
0.75,4.785405738694797e-11
0.875,5.4473295016307183e-11
1.0,4.6897688895423075e-11
1.125,4.016949282749324e-11
1.25,4.0795606272243784e-11
1.375,2.5238957547340597e-11
1.5,3.4564632087640684e-11
1.625,1.7623751365152002e-11
1.75,1.493311788309748e-11
1.875,1.5432678334748097e-11
2.0,1.3323067761160275e-11
2.125,7.021950005197463e-12
2.25,1.3292128959610753e-11
2.375,5.581074239254791e-12
2.5,6.419754658290802e-12
2.625,7.548235122631379e-12
2.75,7.1891854513729096e-12
2.875,6.345171077758915e-12
3.0,5.6285384108549745e-12
3.125,3.567657580051657e-12
3.25,4.253488123218119e-12
3.375,3.3089298013833348e-12
3.5,2.9836763757417774e-12
3.625,3.749305084318034e-12
3.75,4.4683407265873575e-12
3.875,3.0490995587967085e-12
4.0,3.665215749893358e-12
4.125,4.194112176292257e-12
4.25,1.7193861834202433e-12
4.375,2.491418675253934e-12
4.5,3.1744221627905066e-12
4.625,1.9056279907174445e-12
4.75,1.9825173004006624e-12
4.875,2.0540286169050687e-12
5.0,1.2143795235206893e-12
5.125,1.4626206018859633e-12
5.25,1.0902201203649484e-12
5.375,1.3511684986975503e-12
5.5,1.1952155089550921e-12
5.625,1.341043994181293e-12
5.75,1.0224032843841112e-12
5.875,1.0085459822169528e-12
6.0,1.5823450822936206e-12
6.125,1.1802832871172682e-12
6.25,1.3561756126878046e-12
6.375,1.1740637294909058e-12
6.5,1.5997828209069697e-12
6.625,1.2194522394817176e-12
6.75,1.4780179549246123e-12
6.875,1.2131723072660558e-12
7.0,1.614935064992233e-12
7.125,1.0310858592754996e-12
7.25,1.1375692213682752e-12
7.375,1.2665206822453991e-12
7.5,1.5575109225631655e-12
7.625,1.4884377345218065e-12
7.75,1.165325618979986e-12
7.875,1.2579214421501428e-12
8.0,1.4044950383253412e-12
8.125,1.1175024654724322e-12
8.25,1.0850212062936183e-12
8.375,1.4787233410590707e-12
8.5,1.5049011381220083e-12
8.625,1.2827530174781935e-12
8.75,1.0766321970206785e-12
8.875,1.2121367414061709e-12
9.0,8.402774118037103e-13
9.125,7.509231324163081e-13
9.25,1.0336376684747883e-12
9.375,8.580719786737443e-13
9.5,7.193425948826269e-13
9.625,6.291223752055977e-13
9.75,9.425745541219907e-13
9.875,1.0375280881164055e-12
10.0,8.139326235729433e-13
10.125,6.626172829472218e-13
10.25,8.465988756644049e-13
10.375,5.118603905025598e-13
10.5,5.084878610904379e-13
10.625,5.145511270509171e-13
10.75,5.929411307122777e-13
10.875,6.739019817091555e-13
11.0,5.660834298419982e-13
11.125,6.875187789637109e-13
11.25,6.392938823499772e-13
11.375,5.23738169381542e-13
11.5,4.689990854087635e-13
11.625,3.387725999245727e-13
11.75,3.6633351457151716e-13
11.875,4.60368866625695e-13
12.0,3.696837870714861e-13
12.125,4.846450133520356e-13
12.25,5.454563508585479e-13
12.375,4.757064010607822e-13
12.5,5.028921021152201e-13
12.625,3.954117991748933e-13
12.75,4.2017910852623406e-13
12.875,6.055640350640869e-13
13.0,5.429779357617839e-13
13.125,4.127311794345723e-13
13.25,3.4155330768449596e-13
13.375,3.277427058357134e-13
13.5,4.509086561434157e-13
13.625,4.4208128344821193e-13
13.75,4.820945648371768e-13
13.875,4.5016127927119864e-13
14.0,4.0066030991680523e-13
14.125,3.6174806335625274e-13
14.25,3.8794337311860823e-13
14.375,4.298266172663225e-13
14.5,3.7102913230737137e-13
14.625,4.868339548840337e-13
14.75,3.7578580062586685e-13
14.875,3.6355674275734763e-13
15.0,3.683027527997868e-13
15.125,3.341258466882721e-13
15.25,3.62216225901332e-13
15.375,3.023537537869086e-13
15.5,3.921044788529628e-13
15.625,3.70609391991793e-13
15.75,2.6354593102773257e-13
15.875,2.353677096565195e-13
16.0,5.055599077679604e-13
16.125,4.830427088071635e-13
16.25,2.9179203367229076e-13
16.375,2.557242708876623e-13
16.5,3.583258463208973e-13
16.625,3.277324922292939e-13
16.75,2.3610707966265315e-13
16.875,3.0667843982645806e-13
17.0,2.0482390142109183e-13
17.125,1.9300123650818981e-13
17.25,3.221540866767537e-13
17.375,2.915302136481207e-13
17.5,2.2526741915743329e-13
17.625,2.6049213307342833e-13
17.75,2.871248167558999e-13
17.875,2.5992850059815117e-13
18.0,1.947317189526579e-13
18.125,2.232557360175302e-13
18.25,2.6653683132483014e-13
18.375,2.793416821176875e-13
18.5,1.9410559743675628e-13
18.625,2.1491259932179992e-13
18.75,2.3902854427597333e-13
18.875,2.978363239292664e-13
19.0,2.737419071129458e-13
19.125,2.5265062555888424e-13
19.25,2.0938924570559471e-13
19.375,1.8626612055042974e-13
19.5,1.9565720623565808e-13
19.625,2.874972124297316e-13
19.75,2.651585143587226e-13
19.875,2.02050212303315e-13
20.0,2.9845520541014246e-13
20.125,3.1838918948849085e-13
20.25,3.1952381527855543e-13
20.375,2.0721395681691876e-13
20.5,2.146367565619859e-13
20.625,2.2102553026214593e-13
20.75,2.547667996047606e-13
20.875,2.2792574093041537e-13
21.0,2.126631527914404e-13
