type,x,mean_mag
time_sec,1.0,7.878129057989407e-07
time_sec,2.0,6.355964389176848e-07
time_sec,3.0,8.419298914477915e-07
time_sec,4.0,7.414773602599427e-07
time_sec,5.0,1.1347582476637477e-06
time_sec,6.0,1.3945672182534454e-06
time_sec,7.0,8.160714625805013e-07
time_sec,8.0,7.909509987740359e-07
time_sec,9.0,8.356097439198406e-07
time_sec,10.0,5.968065537888923e-07
time_sec,11.0,4.948572092139568e-07
time_sec,12.0,7.507460073232614e-07
time_sec,13.0,7.298170183152017e-07
time_sec,14.0,5.773114534581079e-07
time_sec,15.0,6.674282065175612e-07
time_sec,16.0,6.094128881084224e-07
time_sec,17.0,6.65025190153409e-07
time_sec,18.0,6.382099241426385e-07
time_sec,19.0,5.229392547883545e-07
time_sec,20.0,6.026626550122882e-07
time_sec,21.0,5.382920146848116e-07
time_sec,22.0,6.308000463777921e-07
time_sec,23.0,5.852889022724203e-07
time_sec,24.0,5.102688484125006e-07
time_sec,25.0,5.393661400501093e-07
time_sec,26.0,7.052287138585501e-07
time_sec,27.0,6.266020710518371e-07
time_sec,28.0,1.0498866523873668e-06
time_sec,29.0,6.361772044319145e-07
time_sec,30.0,5.763127852471195e-07
time_sec,31.0,5.449074138827801e-07
time_sec,32.0,6.472820623145759e-07
time_sec,33.0,5.500644123234863e-07
time_sec,34.0,6.289892182530359e-07
time_sec,35.0,4.836156883255727e-07
time_sec,36.0,5.276908597033661e-07
time_sec,37.0,7.832523375568264e-07
time_sec,38.0,1.5470371559835005e-06
time_sec,39.0,7.939244498977601e-07
time_sec,40.0,5.211697273190595e-07
time_sec,41.0,5.246569616081056e-07
time_sec,42.0,6.948725801258795e-07
time_sec,43.0,5.988522300759768e-07
time_sec,44.0,6.623973689613445e-07
time_sec,45.0,5.468475495507593e-07
time_sec,46.0,5.912794902585683e-07
time_sec,47.0,5.207941652942734e-07
time_sec,48.0,6.856820667476326e-07
time_sec,49.0,6.268973776944087e-07
time_sec,50.0,5.097983390035673e-07
time_sec,51.0,5.187063609689118e-07
time_sec,52.0,4.864624323929843e-07
time_sec,53.0,5.000034948991024e-07
time_sec,54.0,4.840617663907105e-07
time_sec,55.0,5.44254521629143e-07
time_sec,56.0,5.123249172422883e-07
time_sec,57.0,5.106547739770967e-07
time_sec,58.0,5.484194409735116e-07
time_sec,59.0,4.4825452693445555e-07
time_sec,60.0,6.070992579516786e-07
time_sec,61.0,5.023967734011506e-07
time_sec,62.0,5.127504548811021e-07
time_sec,63.0,5.605067602289997e-07
time_sec,64.0,5.185931036140528e-07
time_sec,65.0,4.7491225970332237e-07
time_sec,66.0,5.397722291591797e-07
time_sec,67.0,5.582369095272168e-07
time_sec,68.0,5.186955742366543e-07
